question,propositions,labels,justification,answerable,uid
True or False? An object that is not accelerating or decelerating has no forces acting on it.,"['True', 'False', 'Impossible to say without more information']","[0, 1, 0]","According to Newton's first law: ""In the absence of a force, a body either is at rest or moves in a straight line with constant speed"". However, the opposit is not true. A body can have forces acting on it and not accelerate if the resulting force is zero.",True,ff0e8305-73e0-404a-a775-4e7be538d99b
"Complete the following: During its orbital period, as a planet moves farther away from the sun, the orbital velocity of the planet ...","['remains the same', 'increases', 'decreases']","[0, 0, 1]",,True,40a73e51-5eb4-46d3-baab-8acd624f2287
Which affirmation is true when talking about Earth’s potential energy?,"['The potential energy is positive', 'The potential energy is constant', 'The potential energy is negative', 'None of the above answers']","[0, 0, 1, 0]",This is because the Earth potential energy is expressed as Epot = - mu / r,True,883f8ed7-8b2a-4671-80d3-f68791fa4118
Why do we talk about microgravity in LEO?,"['All the external forces are not cancelling exactly', 'In LEO orbits, the Earth’s gravity is not exactly zero', 'The free-fall trajectory gets perturbed', 'None of the above answers']","[0, 0, 1, 0]",,True,7667b6ef-31e5-4ff3-87e2-65f9a4467551
To what wavelength is the atmosphere the most transparent?,"['X-rays', 'Visible light', 'Infra Red', 'Radio Waves']","[0, 0, 0, 1]",,True,b855830d-0498-4c21-8aca-ac69c917178c
"In the atmosphere and space environment, what best describes the so-called airglow?","['Photo ionization of oxygen', 'Northern lights', 'Diffraction of the Sun light in the upper layers of the atmosphere', 'Photo Ionization of Hydrogen']","[1, 0, 0, 0]",,True,e8663499-3be2-4284-88b1-6bada5682f75
"A rocket is launched from ESA spaceport in Kourou, French Guyana. Through which layers of the atmosphere and in what order the rocket will pass through?","['thermosphere, troposphere, stratosphere, mesosphere', 'troposphere, mesosphere, thermosphere, stratosphere', 'troposphere, stratosphere, mesosphere, thermosphere', 'troposphere, mesosphere, stratosphere, thermosphere']","[0, 0, 1, 0]",,True,1b6dbef8-074c-47b0-aba9-5b291196850d
What are the Van Allen belts?,"['The region between 90 and 100 km altitude', 'Low radiation regions', 'Much used orbits for telecommunication', 'Radiation belts']","[0, 0, 0, 1]","These are regions in which you have an increased density of charged particles, mainly protons and electrons, and they are moving to the North and to the South. They are trapped in these regions of increased flux of protons and electrons. Electrons are not too harmful, but protons could be.",True,9d24c8a3-5a62-4b10-a5c6-82a9a7173042
"Why is the inner radiation belt harmful for satellites, and more so than the outer belt ?","['Inner radiation modify the magnetic field and will damage optical system of satellites.', 'Inner radiation traps space debris which damage the structure of satellites.', 'Inner radiation traps protons which are more likely to damage on-board electronics.', 'the question is not correct, the outer belt is more harmful for satellites.']","[0, 0, 1, 0]","On top of electrons the inner radiation traps a significant amount of protons whose mass is much higher than the electrons. Because those protons carry more energy, they are also more likely to cause critical damage to the on-board electronics. One way to mitigate this problem is to harden the circuitry by applying redundancy as needed or by shielding the components.",True,45402b06-b7b3-46b0-ae5c-1d3ad697d8b4
"The sunspot number is a value that changes with time, with a period of approximately...","['7 years', '9 years', '11 years', '13 years']","[0, 0, 1, 0]",,True,920728e6-584b-46bd-b596-80aaab4ccfad
"True or False: the latitude of sunpots during a solar cycle stays uniform and constant, regardless of the sun activity","['True', 'False']","[0, 1]",,True,32387be2-0b71-47c8-abbf-b06d60781657
Which of the following statement(s) is or are correct(s) with respect to the solar cycle effect on satellite lifetime at a given altitude?,"['At solar maximum, you have higher atmosphere density, which means more drag, and reduced satellite lifetime', 'At solar maximum, you have lower atmosphere density, which means less drag, and and increased satellite lifetime', 'At solar minimum, you have higher atmosphere density, which means more radiation, and reduced satellite lifetime', 'At solar minimum, you have lower atmosphere density, when means less lift for the satellite, and reduced lifetime']","[1, 0, 0, 0]",,True,433d3c7b-4f56-4934-ac4b-d513d975c33b
"Based on your understanding of the solar cycle, where would be the best place to see auroras? (select all that apply)","['Close to Antarctic and Arctic circles', 'Near the equator', 'Iceland or northern Scandinavia', 'Latin America']","[1, 0, 1, 0]",,True,e8128a5b-c008-49cd-ba2e-e859042da89d
What would be the most appropriate time to observe auroras?,"['2018', '2023', 'anytime', '2029']","[0, 1, 0, 0]",,True,81c4c4ae-b178-4a9d-8f2d-1f9b1a2b4d52
What is the main driver of the shape of solar prominences ?,"['Van Allen radiation belts', 'Earth', 'Magnetic fields generated by the sun', 'The orbital forces of Mercury']","[0, 0, 1, 0]",,True,a5a8edfe-c124-4b53-99f4-bca48e0f12fc
What is the difference between CMEs (Coronal Mass Ejections) and prominences ?,"['CMEs do not reconnect towards the sun. They also emit in lower wave-lengths.', 'There is no difference', 'Prominences and CMEs appear at different times of the day', 'CMEs are only caused by radiation belt']","[1, 0, 0, 0]",,True,04ad623a-86b3-46ac-8762-ce379d9258cf
What is the typical lower boundary of the Van Allen belts?,"['Below the ISS altitude', 'Half-way to the Moon', '500-600 km, roughly the altitude of the Hubble Space Telescope', '200-300 km, roughly the altitude of the Hubble Space Telescope']","[0, 0, 1, 0]",,True,88326631-7955-4fcd-8bb7-1a2c73fd5dd0
What is the global shape of the Earth radiation belts?,"['Spherical', 'Rectangular', 'Toroidal', 'Triangular']","[0, 0, 1, 0]",,True,e7426a1d-3e9f-4a96-bf76-e39df49b5458
What is the sectional profile of the Earth radiation belts?,"['Banana-shaped, with the extremities away from the Earth', 'Banana-shaped, with the extremities close to the surface of the Earth', 'Rectangular', 'Disk']","[0, 1, 0, 0]",,True,6249156c-13d9-4ce4-9abf-46bf65e50b60
The activity of the Sun has a periodicity of 11 years. What are the methods to observe it? (Select all that apply),"['Count the number of sun spots', ""Measure the Sun's bolometric flux (i.e. the flux over the whole spectrum)"", ""Measure the Sun's flux in a spectral band called H-alpha"", ""Measure the Sun's flux at a wavelength of 10.7 cm""]","[1, 0, 0, 1]",,True,e61de4a5-23be-4d82-92d0-fea5117b41a1
The solar prominence are bright features extending far into space. They can last from a few dozen hours to months. What can be their size?,"['Up to the distance from the Sun to Mercury', 'Up to the distance from the Sun to Earth', ""A siginificant fraction of the Sun's radius"", 'Up to the size of the Earth']","[0, 0, 0, 1]",,True,2f361e84-1b61-42b8-85e7-382e098b3512
Coronal Mass Ejections (CMEs) are huge ejections of plasma from the Sun. What is their manifestation at a far distance (e.g. somewhere in the vicinity of Earth) from the Sun?,"['The flux of light from the Sun is lowered.', 'The Sun darkens from the observer point of view', ""None, it's too far away"", 'A gust of charged particles']","[0, 0, 0, 1]",,True,04660f0a-19fc-4b41-82c2-9f4c2245bf07
What is the magnetosphere?,"['A spherical object composed solely of magnetic material', 'A region that surrounds an object that has a magnetic field, usually a dipole which is distored by charged particles', 'A region in Indonesia', 'A region that surrounds an object that has a magnetic field, which tunnels neutral particles away from the object']","[0, 1, 0, 0]",,True,a279f385-4896-4877-8c32-c265ae0f6b31
"Some of the solar flux is reflected off the surface of the Earth. The fraction of sunlight reflected is given by the albedo. If the albedo increases, how will the amount of reflected light change?","['It increases', 'It descreases', 'It stays the same', 'Impossible to say, we need more information to answer']","[1, 0, 0, 0]",,True,dea1ba45-fcb4-454c-ab94-8a06a4d4f2f4
Crossing the South Atlantic Anomaly (SAA) with a satellite can greatly restrict its performance. Why?,"['The SAA is a region of permanent shadow over the South Atlantic, thus there is no power generated by the solar panels.', 'The SAA is a region of extremely high radiation. Radiations create errors in the onboard electronics which can potentially be permanent.', 'The SAA is a region of extremely low radiation. This induces large currents in the onboard electronics which degrades the performance.', 'The SAA is a region which is not covered by any array of antenna, which renders any communication between the ground and the satellite impossible.']","[0, 1, 0, 0]",,True,8b9f71e4-c6db-45d7-8199-a83a58c31074
An object X and an object Y are in orbit (at the same altitude). X has a Drag Coefficient of 2 while Y has a drag Coefficient of 2.2. Which object will first fall back to Earth?,"['Object X', 'Object Y', 'Both at the same time', 'Impossible to say']","[0, 0, 0, 1]",The masses and cross-sections have to be given to be able to estimate which will fall back first.,True,274915a7-1ad4-49f5-979e-c38c3994eba4
"Space debris mitigation rule states that after end of nominal operations, a satellite has to fall back to Earth or to be put on a graveyard orbit within","['23 years', '24 years', '25 years', '42 years']","[0, 0, 1, 0]",,True,20566fe9-5314-4bb3-a0b7-4e9f01f8c396
Hubble's solar arrays were damaged because of collisions with:,"['Orbital debris', 'Meteorites with a 10e-5 cm diameter', 'Meteorites with a 10e-2 cm diameter', 'Meteroites with a 10 cm diameter', 'The famous cosmos-irridium breakup that destroyed the primary mirror of the telescope']","[1, 1, 1, 0, 0]",,True,80824e85-50b6-4981-9056-5f91e3bd6326
The International Space Station (ISS) is placed on an elliptical orbit around the Earth. The orbital apogee is 417 km and orbital perigee is 401 km. What is the gravitational acceleration created by the Earth at the orbit perigee?,"['1.72 m/s^2', '8.68 m/s^2', '0 m/s^2', '7.78 m/s^2']","[0, 1, 0, 0]",,True,2772845a-52cb-4686-8cfe-b19647b0ad18
"What is the escape velocity from the surface of the moon Europa (mass M = 4.8e22 kg, radius 1560 km)? (answer in km/s)","['Approximately 1', 'Approximately 2', 'Approximately 3', 'Approximately 4', 'Approximately 5']","[0, 1, 0, 0, 0]",The escape velocity of Europa is simply computed from Vesc = sqrt( 2*mu / R) which is approximately 2 km/s,True,90c76998-7060-491c-a0fb-3ae580a72a22
The escape velocity out of the solar system from Jupiter's orbit is 18.5 km/s while the average orbital velocity is 13.1 km/s. What is the transfer velocity in km/s?,"['0.2', '1.4', '2.7', '3.6', '5.4']","[0, 0, 0, 0, 1]","The transfer velocity, for a given planet, is the velocity that has to be added to the planet's circular velocity for a transfer to infinity from this location in the Sun's gravitational well. Therefore, the transfer velocity out of the solar system is 18.5 - 13.1 = 5.4 km/s.",True,6df3d9f1-800e-4b7d-b9ca-ce2ef8090718
The comet 67P/Churyumov-Gerasimenko has an escape velocity close to 1 m/s. What would be sufficient in the following to escape its surface and never come back ?,"['You, by jumping the equivalent of 50 cm on Earth.', 'A tennis ball hit by Roger Federer.', 'A bullet shot by a pistol.', 'None of the above.']","[1, 1, 1, 0]",,True,dcd48a6f-2c96-42e6-b75e-b5cb28b2c1fa
"The Rosetta spacecraft launched by the European Space Agency successfully entered the orbit of the comet 67P/Churyumov-Gerasimenko in August 2014. November 12 2014, the Philae lander was released and touched down 7 hours later at a speed of 0.98m/s. The harpoon mechanism which was supposed to secure the lander failed and it bounced off the comet. Assuming purely elastic impact, will the lander leave the comet or return at some point?","['For sure, the lander is lost.', ""The lander's chances are fair, but there is a significant risk."", 'All is good, not to worry, Philae will come down for sure.']","[0, 1, 0]",,True,6570bf60-a707-4f9b-ad31-d7bf390a306f
Telecommunications satellites are often on geostationary orbits (GEO) at an altitude of 35786 km above the surface of the Earth. What is the Earth escape velocity from that orbit? (answer in km/s),"['4.7', '5.0', '5.3', '5.6', '5.9']","[1, 0, 0, 0, 0]",,True,cfaa1256-9ed3-460b-b6d4-2a79e2b335f2
"Which formula gives the work to be performed in order to bring a unit mass from the Earth's surface to infinity? Assume that g0 is the standard gravitational acceleration for the surface of the Earth, R is the radius of the Earth, and p the atmospheric pressure.","['g0 * R * p^2', 'g0 * R * p', 'g0 * R', 'g0 * R^2']","[0, 0, 1, 0]",,True,bef97b27-a677-488c-9088-b835c0f3d1a8
"What is the formula to compute the escape velocity given mu (standard gravitational parameter), and r (the distance to the center of the central body)?","['V = mu * r', 'V = sqrt( 2 * mu / r^3 )', 'V = sqrt( mu / r )', 'V = sqrt( 2 * mu / r )', 'V = sqrt( mu / 2r )']","[0, 0, 0, 1, 0]",,True,57080b4d-b331-4816-985f-c76f499662f6
"The gravitational acceleration at the altitude of the ISS is about 8.68 m/s. However, the astronauts onboard the station are in weightlessness. Why?","['The ISS is constantly rotating around its main axis, creating the illusion of weightlessness.', 'The ISS is constanly falling towards the Earth, but with enough horizontal speed to create an opposing acceleration and equal in magnitude to the gravitational acceleration.', 'Thrusters are in constant use which generate a force such that there is weightlessness.', 'None of the above.']","[0, 1, 0, 0]",,True,808bd743-7703-452b-a0bb-05516948c7d4
