"question","choices","answer"
"What is usually true when talking about spacecraft active redundancy systems?","['Often used in non-critical application', 'Often used in critical application', 'Suitable for digital systems but not for mechanical systems', 'Requires manual switching to backup components upon failure', 'No action is needed to ensure the service continuity after the failure']","Often used in critical application"
"The South Atlantic Anomaly (SAA) is an area where the Earth's inner Van Allen radiation belt comes closest to the Earth's surface. What does it lead to?","['A screening from sun light.', 'A decreased flux of energetic particles.', 'An increased flux of energetic particles.', 'A high number of auroras.']","An increased flux of energetic particles."
"The comet 67P/Churyumov-Gerasimenko has an escape velocity close to 1 m/s. What would be sufficient in the following to escape its surface and never come back ?","['You, by jumping the equivalent of 50 cm on Earth.', 'A tennis ball hit by Roger Federer.', 'A bullet shot by a pistol.', 'None of the above.']","You, by jumping the equivalent of 50 cm on Earth."
"Based on your understanding of the solar cycle, where would be the best place to see auroras? (select all that apply)","['Close to Antarctic and Arctic circles', 'Near the equator', 'Iceland or northern Scandinavia', 'Latin America']","Close to Antarctic and Arctic circles"
"What is the formula to compute the escape velocity given mu (standard gravitational parameter), and r (the distance to the center of the central body)?","['V = mu * r', 'V = sqrt( 2 * mu / r^3 )', 'V = sqrt( mu / r )', 'V = sqrt( 2 * mu / r )', 'V = sqrt( mu / 2r )']","V = sqrt( 2 * mu / r )"
"What is the key difference between a jet engine and a liquid rocket engine?","['The jet engine is in general more expensive', 'The liquid rocket engine has to carry the oxidizer', 'The jet engine produce a long flamme tail after combustion']","The liquid rocket engine has to carry the oxidizer"
"An artificial Earth satellite is in an elliptical orbit with a perigee altitude of hp = 250 km and an apogee altitude of ha = 800 km. What is the correct expression of the orbital period?","['T = 2*pi * sqrt( a^3 / mu )', 'T = 2*pi * sqrt( a^2 / mu )', 'T = 2*pi * sqrt( a^(1/2) / mu )', 'T = 2*pi * a^3 / mu']","T = 2*pi * sqrt( a^3 / mu )"
"Which of the following languages will you have to learn as a minimum if your are selected as an Astronaut?","['French', 'Chinese', 'English', 'Japanese', 'Russian']","English"
"What changes did occur after the Challenger accident? (Select all that applies)","['The design of some components of the Space Shuttle Transportation System was modified', 'Crew to the ISS were sent only with Soyuz spacecraft', 'The Launch and Entry Suit was introduced', 'The Shuttle was not used by the Department of Defense or for commercial flights', 'Nothing']","The design of some components of the Space Shuttle Transportation System was modified"
"Which axis of the coordinate system for the ISS AOCS is used in the direction of the velocity vector?","['+X (roll)', '+X (pitch)', '+X (yaw)', '-X (roll)', '-X (pitch)', '-X (yaw)']","+X (roll)"
"How long is a sideral day?","['24h00min', '24h04min', '11h56min', '23h56min']","23h56min"
"Which of the following rocket engine(s) is / were manufactured by ""Aerojet"" ?","['MONARC-445', 'MR-111C', 'CHT-20']","MR-111C"
"Which of the following is true about ECLSS Closed Loop System in comparison to Open-Loop ECLSS?","['They are reliable because there are a few moving parts', 'Resource scale linearly with flight duration', 'They require less resupply', 'They are more complex and more expensive', 'Recycling equipment can increase the launch mass']","They require less resupply"
"Which of the following proportionnality relation with the orbital period T with respect to the semi-major axis a is correct?","['T^2 is proportional to a', 'T^2 is proportional to a^2', 'T is proportional to a', 'T is proportional to a^(3/2)']","T is proportional to a^(3/2)"
"Who is not a European Astronaut?","['Thomas Pesquet', 'Christina Koch', 'Jeremy Hansen', 'Samantha Cristoforetti']","Christina Koch"
"How do you express the antenna gain G as a function of the antenna directivity D and various losses L?","['G = D / L', 'G = D^2 / L', 'G = (D - L) / L', 'G = D - L']","G = D - L"
"Space debris mitigation rule states that after end of nominal operations, a satellite has to fall back to Earth or to be put on a graveyard orbit within","['23 years', '24 years', '25 years', '42 years']","25 years"
"How it is possible to maintain a certain orientation by spinning a spacecraft?","['Due to the electron spin', 'Due to the gyroscopic effect', 'Due to the rotational speed being waved']","Due to the gyroscopic effect"
"A probe is leaving the vicinity of Earth to fly to Mercury. Where will the solar panels generate the most power?","['In the vicinity of Earth.', 'Mid-flight from the Earth to Mercury.', 'In the vicinity of Mercury.', 'The distance to the Sun does not matter.']","In the vicinity of Mercury."
"Why are Decibels used for communication links analyses?","['In hommage of George Mikari Decibels, the inventor of the mechanical speaker', 'This is a standard introduced by German scientist in Huntsville, Alabama, during Rocket Engine Fire test and was kept for legacy purpose and now introduced in the ECSS', 'Because link analyses involves calculations with numbers that may differ by many orders of magnitude, decibel is simpler, faster and less error-prone.', 'Because of Aristote']","Because link analyses involves calculations with numbers that may differ by many orders of magnitude, decibel is simpler, faster and less error-prone."
"Which affirmation is true when talking about Earth’s potential energy?","['The potential energy is positive', 'The potential energy is constant', 'The potential energy is negative', 'None of the above answers']","The potential energy is negative"
"Which of the following statements are true?","['LVLH is a coordinate system', 'LVLH is a french luxury clothing brand', 'LVLH is an inertial coordinate system', 'In the LVLH system, the z-axis points towards the center of the Earth', 'LVLH stands for Local Vertical, Local Horizontal.']","LVLH is a coordinate system"
"A geostationary orbit is defined as an orbit were the satellite is always pointing towards the same point on the Earth's surface. What is its inclination?","['7.01°', '0°', '3.2°', '45°']","0°"
"How can you compute the MTBF assuming you know the failure rate lambda?","['lambdaˆ2', 'lambdaˆ(1/2)', '1 / lambda', 'lambda / (1 - lambda)']","1 / lambda"
"Which of the following system enable astronaut to experience up to 20 seconds of weightlessness?","['zero-G flight', 'Drop tower', 'Centrifuges', 'Water Buoyancy Lab']","zero-G flight"
"Which effect dominates the forces on a tethered systems?","['Drag disturbances', 'Radiation pressure', 'Gravity gradient', 'Collision with other spacecraft']","Gravity gradient"
"Which of the following environmental control requirements are in general specific to human spaceflight, hence not applicable to unmanned satellite missions?","['Atmospheric Pressure Control', 'Temperature Control', 'Waste Disposal', 'Water and Food']","Atmospheric Pressure Control"
